,zipcode,Median Household income (Dollars),White Households,Black or African American Households,American Indian and Alaska Native Households,Asian Households,Pacific Islander Households,Other Race Households,Mixed Race Households,Hispanic or Latino origin Households
0,60601,"121,294","5,526",585,0,"2,195",0,273,673,785
1,60602,"167,617",218,32,61,157,0,0,0,124
2,60603,"124,888",339,54,0,264,0,7,10,40
3,60604,"76,667",336,22,0,76,0,3,15,25
4,60605,"116,462","11,369","2,753",24,"3,204",0,431,"1,036","1,434"
5,60606,"133,333","1,547",49,60,955,0,21,34,135
6,60607,"119,500","8,368","1,342",28,"2,525",42,471,698,"1,250"
7,60608,"66,821","11,253","3,190",380,"4,245",0,"6,305","3,708","13,019"
8,60609,"47,209","7,323","6,123",258,"1,400",15,"5,616","2,238","11,220"
9,60610,"106,277","19,880","2,444",86,"2,237",8,224,743,"1,087"
10,60611,"126,812","15,418",971,28,"5,558",0,312,767,"1,154"
11,60612,"58,858","4,433","7,541",78,603,13,730,857,"1,948"
12,60613,"92,238","21,969","1,727",135,"2,006",7,848,"1,745","3,035"
13,60614,"135,364","28,755","1,254",15,"1,833",5,842,"1,364","2,070"
14,60615,"56,518","6,150","13,250",50,"1,891",0,151,998,"1,057"
15,60616,"72,326","8,492","7,286",136,"7,551",24,421,834,"1,615"
16,60617,"51,203","6,155","17,847",288,162,20,"3,811","2,023","9,612"
17,60618,"100,976","24,784","1,212",176,"2,601",72,"4,101","4,114","11,109"
18,60619,"42,802",292,"26,626",36,55,0,399,695,449
19,60620,"46,472",338,"24,724",55,215,0,377,441,444
20,60621,"30,163",207,"10,421",7,68,0,128,303,275
21,60622,"119,134","19,089","1,358",41,"1,221",21,967,"2,391","4,668"
22,60623,"37,814","6,932","8,451",362,197,0,"6,752","4,270","16,990"
23,60624,"31,768",669,"11,762",0,49,0,648,230,909
24,60625,"83,527","19,814","1,498",234,"3,788",0,"2,469","3,431","7,471"
25,60626,"56,145","13,517","5,251",181,"1,271",0,"1,407","1,833","3,232"
26,60628,"48,601",979,"21,491",0,22,0,375,465,792
27,60629,"53,318","12,263","7,701",573,234,54,"7,500","5,500","21,742"
28,60630,"91,135","14,944",433,79,"2,270",29,"1,874","1,711","4,919"
29,60631,"112,974","10,422",95,0,321,0,437,702,"1,378"
30,60632,"53,966","11,585",354,408,"1,735",53,"7,013","5,514","20,534"
31,60633,"54,956","2,451","1,426",15,68,0,700,291,"1,583"
32,60634,"82,771","18,965",666,282,"1,367",0,"3,665","2,543","8,843"
33,60636,"30,451",394,"9,572",55,32,16,918,347,"1,474"
34,60637,"37,247","3,306","16,953",88,962,0,503,460,613
35,60638,"85,374","13,906",599,283,233,21,"2,825","2,775","9,027"
36,60639,"54,969","8,955","4,570",276,680,5,"8,162","3,953","17,899"
37,60640,"69,397","24,080","5,674",120,"3,728",0,985,"2,542","3,980"
38,60641,"79,884","14,952",803,180,"1,450",0,"4,400","3,233","10,302"
39,60642,"137,853","8,303",841,0,705,0,372,823,"1,414"
40,60643,"80,461","4,382","12,821",61,136,0,91,706,474
41,60644,"34,177",846,"16,300",66,114,0,576,655,"1,342"
42,60645,"73,726","8,819","2,564",99,"2,205",0,"1,797","1,516","3,054"
43,60646,"112,283","8,678",31,13,"1,331",0,298,455,"1,178"
44,60647,"97,550","25,413","2,118",212,"1,750",32,"2,292","5,807","11,800"
45,60649,"39,862",718,"22,449",0,130,27,241,511,616
46,60651,"48,532","4,014","11,777",193,169,0,"2,645","1,956","6,810"
47,60652,"76,300","3,649","6,514",201,135,0,"1,948","1,196","4,755"
48,60653,"35,136","1,006","15,096",75,155,7,157,471,441
49,60654,"138,279","11,583",547,0,"1,369",0,308,"1,266","1,267"
50,60655,"115,324","9,426",560,16,119,0,300,251,669
51,60656,"82,992","9,561",516,0,"1,507",0,365,575,"1,481"
52,60657,"105,428","31,429","1,840",48,"2,706",41,669,"1,961","3,240"
53,60659,"64,202","6,988","1,289",148,"3,148",0,782,"1,302","2,731"
54,60660,"63,596","12,066","2,995",41,"3,034",62,714,"2,090","2,745"
55,60661,"139,748","4,447",347,0,"1,889",0,193,358,618
